hw2ev1991-2022
Year,Ethanol E85,CNG Dedicated and Bi-Fuel,Diesel,Electricity*,Hybrid Electric,Propane Dedicated and Bi-Fuel,Hydrogen,Methanol M85
1991,0,0,17,0,0,0,,2
1992,1,2,14,0,0,0,,2
1993,1,2,5,0,0,0,,4
1994,1,2,12,0,0,0,,2
1995,0,10,13,1,0,0,,2
1996,1,10,12,0,0,0,,1
1997,1,9,11,3,0,3,,1
1998,2,12,11,8,0,3,,
1999,6,16,7,16,0,5,,
2000,8,15,3,12,2,2,,
2001,11,16,3,10,2,5,,
2002,16,18,4,6,3,5,,
2003,22,16,4,5,3,1,,
2004,19,16,7,1,3,1,,
2005,24,5,8,0,8,0,,
2006,22,5,6,0,8,0,,
2007,31,1,7,0,11,0,,
2008,31,1,6,1,16,1,,
2009,36,1,12,1,19,1,,
2010,34,1,14,1,20,0,,
2011,72,1,16,2,29,0,,
2012,62,6,17,6,31,1,1,
2013,84,11,22,15,38,6,1,
2014,90,19,35,16,43,14,2,
2015,84,17,39,27,46,10,3,
2016,66,12,29,29,31,5,3,
2017,45,9,21,51,44,8,2,
2018,53,9,38,57,43,7,2,
2019,40,7,30,72,64,7,4,
2020,25,10,20,83,81,8,4,
2021,14,4,25,95,127,4,5,
2022,17,0,22,132,149,0,5,
